Year,Song,Artist,Failed Reason
2007,Thunder (천둥),FT아일랜드 (FTISLAND),No suitable video
2007,Break It,KARA,No suitable video
2007,Step by Step,TVXQ,No suitable video
2007,Tears,소녀시대,No suitable video
2007,Just for One Day (feat. Jaejoong of TVXQ),천상지희 더 그레이스,No suitable video
2007,소녀시대 (Girls' Generation),소녀시대,No suitable video
2007,T.O.P (Twinkling Of Paradise),TVXQ,No suitable video
2007,다 (This Time),Wonder Girls,No suitable video
2007,미안한 마음 (Tears),Wonder Girls,No suitable video
2007,Tell Me,Wonder Girls,No suitable video
2007,Summer Dream,TVXQ,No suitable video
2007,여우비/Sunshower (with J-Walk),KIM JAE-DUCK,No suitable video
2007,Forever Love,TVXQ,No suitable video
2007,Tinkerbell,소녀시대,No suitable video
2007,Adios,Eun Jiwon,No suitable video
2007,Kissing You,소녀시대,No suitable video
2007,Toc Toc Toc,Lee Hyori,No suitable video
2007,Always,BigBang,No suitable video
2007,Good-bye To Romance,Sunny Hill,No suitable video
2008,Honey,Ock Joo-hyun,No suitable video
2008,YouKnow(RockVer.),아이유,No suitable video
2008,So Hot,Wonder Girls,No suitable video
2008,Nobody,Wonder Girls,No suitable video
2008,어린왕자 (Prince),U-KISS,No suitable video
2008,I Hope (바래),FT아일랜드 (FTISLAND),No suitable video
2008,Don't Don (돈 돈!) (Mandarin Ver.),Super Junior-M,No suitable video
2008,At Least There's Still You (至少还有你),Super Junior-M,No suitable video
2008,"Candle (Together Forever) (A Fool of Tears, Japanese Version)",BigBang,No suitable video
2008,Everything,BigBang,No suitable video
2008,들리나요? (Can You Hear Me?),태연,No suitable video
2008,만약에 (If),태연,No suitable video
2008,있잖아,아이유,No suitable video
2008,FeelSoGood,아이유,No suitable video
2008,EverySweetDay,아이유,No suitable video
2008,YouKnow,아이유,No suitable video
2008,Marry U (Mandarin Ver.),Super Junior-M,No suitable video
2008,Rainism,Rain,No suitable video
2008,Haru Haru (Acoustic Version),BigBang,No suitable video
2008,You Are Mine,KARA,No suitable video
2008,"Look at Me, GwiSoon (날 봐, 귀순)",대성,No suitable video
2008,Two Hearts,TVXQ,No suitable video
2008,Purple Line,TVXQ,No suitable video
2008,1234 Back,A'ST1,No suitable video
2008,Pretty Girl,KARA,No suitable video
2008,This Song,2AM,No suitable video
2008,Heaven (천국),FT아일랜드 (FTISLAND),No suitable video
2008,Asian Freak Show,Super Junior,No suitable video
2008,Bad Drive,BoA,No suitable video
2008,Hey Mr. Big,Lee Hyori,No suitable video
2008,My Love (with J-Walk),KIM JAE-DUCK,No suitable video
2008,미아,아이유,No suitable video
2009,Mysterious,KARA,No suitable video
2009,I Did It for Love,BoA,No suitable video
2009,You and I,Park Bom,No suitable video
2009,LA chA TA,f(x),No suitable video
2009,Gossip Man (feat. Kim Gunmo),G-Dragon,No suitable video
2009,있잖아(RockVer.),아이유,No suitable video
2009,가여워,아이유,No suitable video
2009,기차를타고,아이유,No suitable video
2009,마쉬멜로우,아이유,No suitable video
2009,Gee,소녀시대,No suitable video
2009,Heartquake,Super Junior,No suitable video
2009,Way To Go,소녀시대,No suitable video
2009,Kiss,Rainbow,Every channel is None or video duration is not between 60 and 600 seconds
2009,Kiss,Rainbow,No suitable video
2009,Dynamite,A'ST1,No suitable video
2009,Hot Issue,4Minute,No suitable video
2009,HateYou,아이유,No suitable video
2009,Lollipop (with BIGBANG),2NE1,No suitable video
2009,Kiss the Baby Sky,TVXQ,No suitable video
2009,Chu~♡,f(x),No suitable video
2009,LoveAttack,아이유,No suitable video
2009,졸업하는날,아이유,No suitable video
2009,Korean Dream (feat. Taeyang),G-Dragon,No suitable video
2009,있잖아(AcousticVer.),아이유,No suitable video
2009,미아(AcousticVer.),아이유,No suitable video
2009,Hot Issue (Remix),4Minute,No suitable video
2009,첫이별그날밤,아이유,No suitable video
2009,바라보기,아이유,No suitable video
2009,Dear. Mom,소녀시대,No suitable video
2009,Blue Tomorrow (蓝色明天),Super Junior-M,No suitable video
2009,Etude,소녀시대,No suitable video
2009,Chocolate Love,f(x),No suitable video
2009,Butterfly (feat. Jin Jung),G-Dragon,No suitable video
2009,Sukoshi de Ii Kara (少しでいいから),천상지희 더 그레이스,No suitable video
2009,Genie,소녀시대,No suitable video
2009,Lollipop (with 2NE1),BigBang,No suitable video
2009,1 Year Station,G-Dragon,No suitable video
2009,Stand By U,TVXQ,No suitable video
2009,Super Girl,Super Junior-M,No suitable video
2009,Breathe,G-Dragon,No suitable video
2009,Now (Fin.K.L cover),Wonder Girls,No suitable video
2009,Jump Up,FT아일랜드 (FTISLAND),No suitable video
2009,아침눈물,아이유,No suitable video
2009,Missing You (보고싶어),FT아일랜드 (FTISLAND),No suitable video
2009,Double Date,FT아일랜드 (FTISLAND),No suitable video
2009,She’s Gone (feat. Kush),G-Dragon,No suitable video
2010,Hoot,소녀시대,No suitable video
2010,좋은날,아이유,No suitable video
2010,널 붙잡을 노래 (Love Song),Rain,No suitable video
2010,Hurricane Venus,BoA,No suitable video
2010,Laughing,2AM,No suitable video
2010,Big Hit (대박이야),대성,No suitable video
2010,Cotton Candy (솜사탕),대성,No suitable video
2010,Surprise Party,f(x),No suitable video
2010,Chitty Chitty Bang Bang,Lee Hyori,No suitable video
2010,Beautiful Journey,FT아일랜드 (FTISLAND),No suitable video
2010,Try to Follow Me (날 따라 해봐요),2NE1,No suitable video
2010,나만몰랐던이야기,아이유,No suitable video
2010,Oh Mom (T.O.P solo),GD & TOP,No suitable video
2010,Oh!,소녀시대,No suitable video
2010,Bad Girl Good Girl,Miss A,No suitable video
2010,With All My Heart,TVXQ,No suitable video
2010,I Don't Care (Reggae Mix),2NE1,No suitable video
2010,Follow Me (날 따라 해봐요),2NE1,No suitable video
2010,Come Back Again (다시 돌아와),인피니트 (Infinite),No suitable video
2010,Kiss (Dara Solo),2NE1,No suitable video
2010,Oh! My Goddess,TraxX,No suitable video
2010,Turn It Up (T.O.P Solo) (Bonus Track),GD & TOP,No suitable video
2010,돌이킬 수 없는 (Irreversible),Gain,No suitable video
2010,Baby Don't Cry,대성,No suitable video
2010,Play That Music DJ (그 음악을 틀어줘요 DJ),Miss A,No suitable video
2010,Of All Days (T.O.P solo),GD & TOP,No suitable video
2010,What Do You Want? (G-Dragon Solo),GD & TOP,No suitable video
2010,I'm Going Crazy,SE7EN,No suitable video
2010,가슴이 차가운 남자 (Let You Go),TraxX,No suitable video
2010,Can't Let You Go Even If I Die (죽어도 못 보내),2AM,No suitable video
2010,Heartbreaker (Remix) (feat. Flo Rida),G-Dragon,No suitable video
2010,Uncomfortable Truth,Gain,No suitable video
2010,Snowy Wish,소녀시대,No suitable video
2010,I'm Sorry I Can't Laugh for You,2AM,No suitable video
2010,잔소리(With2AM슬옹),아이유,No suitable video
2010,You and I (Park Bom Solo),2NE1,No suitable video
2010,My Best Friend,소녀시대,No suitable video
2010,Nu ABO,f(x),No suitable video
2011,Nothing's Over,인피니트 (Infinite),No suitable video
2011,Be Mine (내꺼하자),인피니트 (Infinite),No suitable video
2011,Dear Boy,Wonder Girls,No suitable video
2011,Tic Toc,인피니트 (Infinite),No suitable video
2011,How Great Is Your Love,소녀시대,No suitable video
2011,Telepathy,소녀시대,No suitable video
2011,잠자는숲속의왕자(Feat.윤상),아이유,No suitable video
2011,삼촌,아이유,No suitable video
2011,Perfection (太完美),Super Junior-M,No suitable video
2011,비밀,아이유,No suitable video
2011,별을찾는아이(Feat.김광진),아이유,No suitable video
2011,Good-bye Baby,Miss A,No suitable video
2011,벽지무늬,아이유,No suitable video
2011,0330,U-KISS,No suitable video
2011,Say Yes,소녀시대,No suitable video
2011,Trick,소녀시대,No suitable video
2011,Beautiful Hangover,BigBang,No suitable video
2011,Don't Cry (Park Bom Solo),2NE1,No suitable video
2011,Lonely,2NE1,No suitable video
2011,NEVERLAND,U-KISS,No suitable video
2011,Don't Cry,Park Bom,No suitable video
2011,Heart to Heart,4Minute,No suitable video
2011,My All Is In You (至上主义),Super Junior-M,No suitable video
2011,Mr. Taxi,소녀시대,No suitable video
2011,햇살 (Goodbye Lover),TraxX,Every channel is None or video duration is not between 60 and 600 seconds
2011,햇살 (Goodbye Lover),TraxX,No suitable video
2011,Be My Baby (Ra.D Mix),Wonder Girls,No suitable video
2011,너랑나,아이유,No suitable video
2011,"Bravo, My Love!",천상지희 더 그레이스-Dana & Sunday,No suitable video
2011,Girls Girls,Wonder Girls,No suitable video
2011,4AM,아이유,No suitable video
2011,SuperB,Wonder Girls,No suitable video
2011,Act Cool (featuring San E),Wonder Girls,No suitable video
2011,Freeze! (그대로 멈춰라!),블락비(Block B),No suitable video
2011,Nu Shoes,Wonder Girls,No suitable video
2011,그럴 겁니다... 잊을 겁니다... (Love Comes With the Rain),CNBLUE (씨엔블루),No suitable video
2011,Tell Them (가서 전해),블락비(Block B),No suitable video
2011,My J,소녀시대,No suitable video
2011,두고두고 (Long Long Time),Wonder Girls,No suitable video
2011,Paradise,인피니트 (Infinite),No suitable video
2011,나 좀 봐줘 (With Coffee Project Part. 1),천상지희 더 그레이스-Dana & Sunday,No suitable video
2011,나 좀 봐줘 (One More Chance),천상지희 더 그레이스-Dana & Sunday,No suitable video
2011,나 좀 봐줘 (With Coffee Project Part. 2),천상지희 더 그레이스-Dana & Sunday,No suitable video
2011,An Inconvenient Truth,Brown Eyed Girls,No suitable video
2011,Shot,인피니트 (Infinite),No suitable video
2011,Keep Your Head Down,TVXQ,No suitable video
2011,Winter Rose,TVXQ,No suitable video
2011,You Wouldn't Answer My Calls (전화를 받지 않는 너에게),2AM,No suitable video
2011,Sweet Dreams,Wonder Girls,No suitable video
2011,Lollipop (feat. SHINee),f(x),No suitable video
2011,기도 (Pray),Sunny Hill,No suitable video
2011,Step by Step,TraxX,No suitable video
2011,I Am the Best (내가 제일 잘 나가),2NE1,No suitable video
2011,I Don't Know,TVXQ,No suitable video
2011,Superstar,TVXQ,No suitable video
2011,Julia,인피니트 (Infinite),No suitable video
2012,Only One,BoA,No suitable video
2012,Top,소녀시대,No suitable video
2012,STILL,TVXQ,No suitable video
2012,Android,TVXQ,No suitable video
2012,Catch Me,TVXQ,No suitable video
2012,Nanrina (난리나),블락비(Block B),No suitable video
2012,복숭아,아이유,No suitable video
2012,그때처럼 (Like Back Then),Melody Day,No suitable video
2012,Jet,f(x),No suitable video
2012,Zig Zag,f(x),No suitable video
2012,One of a Kind,G-Dragon,No suitable video
2012,마법의 성 (Magic Castle),Melody Day,No suitable video
2012,Crayon,G-Dragon,No suitable video
2012,Drop It (Cut It Off),G.NA,No suitable video
2012,사랑을 말해요 (The Way to Say I Love You),Melody Day,No suitable video
2012,Beautiful Stranger,f(x),No suitable video
2012,A Midsummer Night’s Dream,Brown Eyed Girls,No suitable video
2012,그대가 잠든 사이 (In Your Time),Yang Yoseob,No suitable video
2012,Let's Try,f(x),No suitable video
2012,Catch Me If You Can (feat. Eric),Gain,No suitable video
2012,There's a Rumor,G.NA,No suitable video
2012,미치게 보고싶은 (Missing You Like Crazy),태연,No suitable video
2012,The Grasshoppers,Sunny Hill,No suitable video
2012,피어나 (Bloom),Gain,No suitable video
2012,백마는 오고 있는가 (Is the White Horse Coming?),Sunny Hill,No suitable video
2012,Stop Girl,U-KISS,No suitable video
2012,Lover Boy,BTOB,No suitable video
2012,Twinkle,태티서,No suitable video
2012,Fantastic Baby,BigBang,No suitable video
2012,Hey You,CNBLUE (씨엔블루),No suitable video
2012,Wanna Be,AOA (에이오에이),No suitable video
2012,Goodbye to Romance,Sunny Hill,No suitable video
2012,Get Out,AOA (에이오에이),No suitable video
2012,Daydream,Park Gyuri,No suitable video
2012,Severely (지독하게),FT아일랜드 (FTISLAND),No suitable video
2012,Hey Boy,Wonder Girls,No suitable video
2012,그애참싫다,아이유,No suitable video
2012,Grown-Up,FT아일랜드 (FTISLAND),No suitable video
2012,Go Crazy (미쳐보자),블락비(Block B),No suitable video
2012,Over U,Miss A,No suitable video
2012,추워지니 (It's Cold) (with Yoon Hyun-sang),Sunny Hill,No suitable video
2012,Madness,Miss A,No suitable video
2012,Happy Ending,AOA (에이오에이),No suitable video
2012,White Day Dream (백일몽),Park Gyuri,No suitable video
2012,"Oppa, Dongsaeng (feat. Sangchu of Mighty Mouth)",G.NA,No suitable video
2012,DORADORA,U-KISS,No suitable video
2012,Love U Like U (Shut Up Flower Boy Band OST),인피니트 (Infinite),No suitable video
2012,When I Can't Sing,SE7EN,No suitable video
2012,The Special to Kiss Me,U-KISS,No suitable video
2012,Missing You (feat. Kim Yoon Ah),G-Dragon,No suitable video
2012,Love Hate,f(x),No suitable video
2012,Wicked (피쳐링 타이거 JK),Fiestar,No suitable video
2012,Crazy 4 U,A-JAX,No suitable video
2013,Open Arms,Super Junior-M,No suitable video
2013,Dreamer,History,No suitable video
2013,MaRedNight,History,Every channel is None or video duration is not between 60 and 600 seconds
2013,MaRedNight,History,No suitable video
2012,Today (feat. Kim Jong Wan),G-Dragon,No suitable video
2013,Niliria (G-Dragon version),G-Dragon,No suitable video
2013,Runaway,G-Dragon,No suitable video
2013,한낮의꿈,아이유,No suitable video
2013,Ringa Linga,Taeyang,No suitable video
2013,D'scover,Daesung,No suitable video
2013,Your Words,A-JAX,No suitable video
2013,Snake,A-JAX,No suitable video
2013,나만 없다면 (If You Were Mine),JeA,No suitable video
2013,WhatAmIToYou?(난너한테뭐야?),History,No suitable video
2013,비가 온다,강승윤,No suitable video
2013,시트콤 (Sitcom),Sunny Hill,No suitable video
2013,맘도둑,강승윤,No suitable video
2013,모르는 게 많아서 (I Don't Know About Too Many Things),Sunny Hill,No suitable video
2013,Ocean,TVXQ,No suitable video
2013,Pretty Girl,f(x),No suitable video
2013,Miss Korea,Lee Hyori,No suitable video
2013,Kick,f(x),No suitable video
2013,만인의 연인 (Darling of All Hearts) (feat. Hareem),Sunny Hill,No suitable video
2013,WhyNot,History,No suitable video
2013,IRIS II: New Generation OST Part.3 - Black Paradise,비스트,No suitable video
2013,Love...Painfully (with J-Walk),KIM JAE-DUCK,No suitable video
2013,Man in Love OST Part.4 - Bye Bye Love,비스트,No suitable video
2013,Frappuccino (with J-Walk),KIM JAE-DUCK,No suitable video
2013,그리고 하나 (And One),태연,No suitable video
2013,Hyde,빅스 (VIXX),No suitable video
2013,On and On (다칠 준비가 돼 있어),빅스 (VIXX),No suitable video
2013,Growl,EXO,No suitable video
2013,백마는 오고 있는가 (Is the White Horse Coming?) (Acoustic Ver.),Sunny Hill,No suitable video
2013,Smile Again (with Trouble Maker and Ryu Hyun-jin),G.NA,No suitable video
2013,Whatcha Doin' Today? (오늘 뭐해),4Minute,No suitable video
2013,Dancing Queen,소녀시대,No suitable video
2013,R.O.D. (feat. LYDIA PARK),G-Dragon,No suitable video
2013,Shake the World,G-Dragon,No suitable video
2013,Arigatou,SE7EN,No suitable video
2013,Standing Still,U-KISS,No suitable video
2013,Red Motion,AOA (에이오에이),No suitable video
2013,Hush,Miss A,No suitable video
2013,Spotlight,Miss A,No suitable video
2013,(Mama) I'm Good,Miss A,No suitable video
2013,Like Lovers (연인처럼) (feat. Oh Jong-hyuk),A-JAX,No suitable video
2013,Romantic Comics (순정만화),Sunny Hill,No suitable video
2013,I Don't Know (아무것도 몰라요),Fiestar,No suitable video
2013,Come Tonight (놀러와),Miss A,No suitable video
2013,Airplane,f(x),No suitable video
2013,Jekyll,빅스 (VIXX),No suitable video
2013,Goodbye Summer (feat. D.O. of EXO),f(x),No suitable video
2013,Toy,f(x),No suitable video
2013,Rum Pum Pum Pum (첫 사랑니),f(x),No suitable video
2013,Be the Light (빛이 되어줘),블락비(Block B),No suitable video
2013,VOODOO (저주인형),빅스 (VIXX),No suitable video
2013,Hide & Sick,Miss A,No suitable video
2013,When I Was Your Man,BTOB,No suitable video
2013,Wild and Young,강승윤,No suitable video
2013,After a Long Time (重伤的心),Super Junior-M,No suitable video
2013,Rated-FT,FT아일랜드 (FTISLAND),No suitable video
2013,In Our Time,TVXQ,No suitable video
2013,"Miracle (with The One, Jiyoung (A.Kor), Kim Woo-joo, Lee Ye-joon)",G.NA,No suitable video
2013,TellMeLove(열대야),History,No suitable video
2013,Back Then,2AM,No suitable video
2013,Memory (메모리),FT아일랜드 (FTISLAND),No suitable video
2013,금요일에만나요(Feat.장이정),아이유,No suitable video
2013,Request,인피니트 (Infinite),No suitable video
2013,Without You,AOA (에이오에이),No suitable video
2013,Bitter Sweet,N.Flying (엔플라잉),No suitable video
2013,Step,f(x),No suitable video
2013,She's Mine,U-KISS,No suitable video
2013,이렇게 될 줄 알았어 (I Knew It Would Happen),Heo Ga-yoon,Every channel is None or video duration is not between 60 and 600 seconds
2013,이렇게 될 줄 알았어 (I Knew It Would Happen),Heo Ga-yoon,No suitable video
2013,Love Is U,Miss A,No suitable video
2013,G.R.8.U (대.다.나.다.너),빅스 (VIXX),No suitable video
2013,"Kiss Me,Miss Me",N.Flying (엔플라잉),No suitable video
2013,Shadow,f(x),No suitable video
2014,No More,비스트,No suitable video
2013,All About,Melody Day,No suitable video
2014,숨소리 (Breath) [with 종현],태연,No suitable video
2014,Thank You for My Love (사랑해 주셔서 감사합니다),빅스 (VIXX),No suitable video
2014,뛰뛰빵빵 (Beep Beep),BTOB,No suitable video
2014,The Story of Our Lives (feat. Megan Lee),g.o.d,No suitable video
2014,어떤 안녕 (Another Parting),Melody Day,No suitable video
2014,Psycho(싸이코),History,No suitable video
2014,Rare Woman (보기 드문 여자),블락비(Block B),No suitable video
2014,Listen to My Heart,Melody Day,No suitable video
2014,황혼의 뱃노래 (Sailor's Song),Sunny Hill,Every channel is None or video duration is not between 60 and 600 seconds
2014,황혼의 뱃노래 (Sailor's Song),Sunny Hill,No suitable video
2014,좋아요 (I Like It) (Slow Jam Remix),BTS,No suitable video
2014,Wild Boy (with Yoon Jong Shin & Mino),강승윤,No suitable video
2014,Tough Cookie (터프쿠키),지코(Zico),No suitable video
2014,본능적으로 (Instinctively),인피니트 (Infinite),No suitable video
2014,MTBD (Mental Breakdown),CL,No suitable video
2014,꽃,아이유,No suitable video
2014,Eternity (기적),빅스 (VIXX),No suitable video
2014,삐에로는우릴보고웃지,아이유,No suitable video
2014,Monday Blues,Sunny Hill,No suitable video
2014,Mr.Mr.,소녀시대,No suitable video
2014,Stop Stop It,GOT7,No suitable video
2014,I'll Be Waiting,Melody Day,No suitable video
2014,나의옛날이야기,아이유,No suitable video
2014,Wait a Minute,소녀시대,No suitable video
2014,One More (하나 더),Fiestar,No suitable video
2014,Outro: Propose,BTS,No suitable video
2014,Spellbound,TVXQ,No suitable video
2014,Go Your Way,CNBLUE (씨엔블루),No suitable video
2014,War of Hormone,BTS,No suitable video
2014,Lucky Star,SHINee,No suitable video
2014,Come Back Home (Unplugged Ver.),2NE1,No suitable video
2014,Good Boy (with Taeyang),G-Dragon,No suitable video
2014,You're My Everything,Melody Day,No suitable video
2014,Hands Up,Taeyang,No suitable video
2014,Interlude: 뭐해 (What Are You Doing),BTS,No suitable video
2014,Girls Girls Girls,GOT7,No suitable video
2014,Born Hater (with Epik High),Mino,No suitable video
2014,Time Works Wonders,TVXQ,No suitable video
2014,D'slove,Daesung,No suitable video
2014,Fight,2PM,No suitable video
2014,Europa,소녀시대,No suitable video
2014,Happy,2NE1,No suitable video
2014,Stay With Me,A-JAX,No suitable video
2014,I'm Him (MINO),Winner,No suitable video
2014,Can't Stop,CNBLUE (씨엔블루),No suitable video
2014,Short Hair,AOA (에이오에이),No suitable video
